timestamp,open,high,low,close,volume
2019-06-06 09:31:00,7.16,7.16,7.16,7.16,0
2019-06-06 10:08:00,7.2096,7.2096,7.2096,7.2096,811
2019-06-06 11:44:00,7.29,7.29,7.29,7.29,101
2019-06-06 12:35:00,7.18,7.18,7.18,7.18,100
2019-06-06 13:30:00,7.28,7.28,7.1,7.1623,3137
2019-06-06 14:50:00,7.1324,7.35,7.1324,7.35,449
2019-06-07 09:31:00,7.35,7.35,7.35,7.35,0
2019-06-07 10:10:00,7.35,7.35,7.35,7.35,328
2019-06-07 10:15:00,7.35,7.35,7.35,7.35,100
2019-06-07 11:01:00,7.33,7.33,7.33,7.33,100
2019-06-07 11:02:00,7.19,7.19,7.19,7.19,100
2019-06-07 11:03:00,7.33,7.33,7.33,7.33,108
2019-06-07 11:47:00,7.34,7.34,7.34,7.34,100
2019-06-07 12:17:00,7.35,7.35,7.34,7.34,300
2019-06-07 12:18:00,7.34,7.35,7.34,7.35,700
2019-06-07 12:42:00,7.33,7.33,7.33,7.33,100
2019-06-07 13:18:00,7.34,7.34,7.34,7.34,100
2019-06-07 13:35:00,7.3204,7.3204,7.3204,7.3204,2700
2019-06-07 13:53:00,7.34,7.34,7.34,7.34,224
2019-06-07 15:44:00,7.29,7.29,7.29,7.29,300
2019-06-07 15:48:00,7.2119,7.3,7.2119,7.3,400
2019-06-07 15:55:00,7.29,7.29,7.29,7.29,100
2019-06-07 16:00:00,7.27,7.27,7.22,7.22,421
2019-06-10 09:31:00,7.2,7.27,7.2,7.27,0
2019-06-10 09:32:00,7.18,7.18,7.18,7.18,209
2019-06-10 09:44:00,7.236,7.236,7.236,7.236,1000
2019-06-10 10:07:00,7.26,7.26,7.26,7.26,238
2019-06-10 10:53:00,7.595,7.595,7.595,7.595,100
2019-06-10 11:35:00,7.63,7.6602,7.5,7.61,2400
2019-06-10 11:37:00,7.5,7.5,7.5,7.5,100
2019-06-10 11:38:00,7.5,7.51,7.5,7.51,221
2019-06-10 11:44:00,7.5,7.5,7.5,7.5,400
2019-06-10 12:08:00,7.5,7.5,7.41,7.41,329
2019-06-10 12:14:00,7.4,7.4,7.4,7.4,200
2019-06-10 12:15:00,7.41,7.41,7.41,7.41,100
2019-06-10 13:30:00,7.4,7.4,7.4,7.4,100
2019-06-10 14:40:00,7.4,7.4,7.4,7.4,700
2019-06-10 14:41:00,7.4,7.4,7.4,7.4,100
2019-06-10 14:42:00,7.4,7.4,7.4,7.4,100
2019-06-10 14:47:00,7.4,7.4,7.4,7.4,100
2019-06-10 15:40:00,7.4,7.4,7.4,7.4,465
2019-06-10 15:46:00,7.43,7.43,7.43,7.43,100
2019-06-10 15:57:00,7.517,7.517,7.41,7.41,200
2019-06-10 16:00:00,7.41,7.41,7.41,7.41,277
2019-06-11 09:31:00,7.32,7.32,7.32,7.32,0
2019-06-11 09:32:00,7.32,7.32,7.32,7.32,200
2019-06-11 09:43:00,7.25,7.27,6.64,6.65,4452
2019-06-11 09:45:00,7.11,7.11,7.11,7.11,232
2019-06-11 09:48:00,6.765,6.8,6.75,6.75,850
2019-06-11 09:50:00,6.78,6.82,6.75,6.75,2850
2019-06-11 09:51:00,6.76,6.76,6.75,6.75,621
2019-06-11 09:52:00,6.75,6.75,6.75,6.75,100
2019-06-11 09:53:00,6.75,6.75,6.75,6.75,200
2019-06-11 09:55:00,6.75,6.75,6.75,6.75,300
2019-06-11 09:57:00,6.75,6.75,6.75,6.75,100
2019-06-11 09:58:00,6.75,6.75,6.75,6.75,100
2019-06-11 09:59:00,6.76,6.76,6.76,6.76,288
2019-06-11 10:01:00,6.75,6.75,6.75,6.75,829
2019-06-11 10:08:00,6.95,6.95,6.7,6.7,1139
2019-06-11 10:10:00,6.71,6.71,6.71,6.71,160
2019-06-11 10:11:00,6.7,6.7,6.7,6.7,340
2019-06-11 10:14:00,6.7,6.7,6.7,6.7,200
2019-06-11 10:15:00,6.8,6.8,6.8,6.8,208
2019-06-11 10:16:00,6.75,6.75,6.75,6.75,200
2019-06-11 10:34:00,6.79,6.8,6.79,6.8,200
