timestamp,open,high,low,close,volume
2019-06-06 15:56:00,9.45,9.45,9.45,9.45,1383
2019-06-07 16:00:00,9.45,9.45,9.45,9.45,152
2019-06-10 11:39:00,9.454,9.454,9.454,9.454,348
2019-06-10 12:43:00,9.45,9.45,9.45,9.45,100
2019-06-10 12:49:00,9.45,9.475,9.45,9.475,1629
2019-06-10 12:52:00,9.5,9.5,9.5,9.5,3386
2019-06-10 13:11:00,9.5096,9.5096,9.5,9.5,3506
2019-06-11 10:58:00,9.5412,9.5412,9.5412,9.5412,0
2019-06-11 14:58:00,9.5305,9.5305,9.5305,9.5305,500
2019-06-11 15:46:00,9.5136,9.5136,9.5136,9.5136,874
2019-06-11 15:49:00,9.54,9.54,9.54,9.54,1000
2019-06-11 15:50:00,9.5101,9.5101,9.5101,9.5101,1000
2019-06-12 09:32:00,9.5,9.5,9.5,9.5,0
