timestamp,open,high,low,close,volume
2019-05-28 10:34:00,9.86,9.86,9.86,9.86,0
2019-05-28 10:52:00,9.83,9.83,9.83,9.83,200
2019-05-28 13:31:00,9.86,9.86,9.86,9.86,37400
2019-05-28 13:38:00,9.86,9.86,9.86,9.86,57000
2019-05-28 14:40:00,9.86,9.86,9.86,9.86,5600
2019-05-29 09:51:00,9.84,9.84,9.84,9.84,0
2019-05-29 10:51:00,9.84,9.84,9.84,9.84,100
2019-05-29 10:56:00,9.86,9.86,9.86,9.86,500
2019-05-30 09:42:00,9.84,9.84,9.84,9.84,0
2019-05-30 09:43:00,9.86,9.86,9.86,9.86,93900
2019-05-30 10:49:00,10.71,10.84,9.87,9.87,3300
2019-05-30 10:50:00,11.5,11.5,11.5,11.5,789
2019-05-30 10:52:00,10.0,10.0,10.0,10.0,210
2019-05-30 10:53:00,10.01,10.01,10.0,10.0,622
2019-05-30 10:54:00,10.0,10.0,10.0,10.0,100
2019-05-30 10:58:00,9.91,9.91,9.9,9.9,437
2019-05-30 10:59:00,9.95,9.95,9.95,9.95,182
2019-05-30 11:05:00,9.9,9.9,9.9,9.9,100
2019-05-30 11:45:00,9.95,9.95,9.9,9.9,394
2019-05-30 11:48:00,9.9,9.9,9.9,9.9,200
2019-05-30 12:06:00,9.9,9.9,9.9,9.9,256
2019-05-30 12:17:00,9.88,9.88,9.86,9.86,334
2019-05-30 13:10:00,9.95,9.95,9.9,9.95,300
2019-05-30 13:17:00,9.95,9.98,9.95,9.97,2516
2019-05-30 13:19:00,9.96,9.96,9.96,9.96,100
2019-05-30 13:34:00,9.96,9.96,9.96,9.96,100
2019-05-30 13:43:00,9.92,9.92,9.9,9.92,300
2019-05-30 14:23:00,9.9,9.9,9.9,9.9,294
2019-05-30 14:46:00,9.89,9.89,9.89,9.89,189
2019-05-31 13:44:00,9.87,9.87,9.86,9.86,0
2019-05-31 15:07:00,9.86,9.86,9.86,9.86,25000
