Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
YI,"111, Inc.",6.62,85445630.9,12907195.0,2018.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",5.6,33671478.4,,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.0,17500000.0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,2.0,62243124.0,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",20.27,1303722961.39,,1999.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.35,45596929.95,,2019.0,Finance,Banks,https://www.nasdaq.com/symbol/bcow,
FCCY,1st Constitution Bancorp (NJ),18.8,162200910.4,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,45.16,1159164757.48,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",7.7,479540053.3,62277929.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",37.97,2395102719.46,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",13.86,42966000.0,3100000.0,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,
JOBS,"51job, Inc.",74.1,2645745612.9,35705069.0,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
JFK,8i Enterprises Acquisition Corp,9.91,73606525.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.28,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,10.32,51600000.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,0.195,1121250.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,24.72,2380223687.52,,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
AAON,"AAON, Inc.",48.27,2515603648.47,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,4.89,240402409.83,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,1.16,0.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,1.056,8489248.416000001,,2014.0,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,
ABMD,"ABIOMED, Inc.",256.3,11565468042.7,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,1.07,180154809.67,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,5.79,391185908.07,,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",46.72,1896777851.52,,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,3.09,154698628.29,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,
ACHC,"Acadia Healthcare Company, Inc.",34.04,3010713685.92,,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,26.62,3830148982.22,,1985.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,
ACAM,Acamar Partners Acquisition Corp.,9.8,374327189.6,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/acam,
ACAMU,Acamar Partners Acquisition Corp.,10.0,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,
ACAMW,Acamar Partners Acquisition Corp.,0.75,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,
ACST,"Acasti Pharma, Inc.",1.01,78914061.34,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,
AXDX,"Accelerate Diagnostics, Inc.",19.91,1084296389.99,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,39.92,2103214740.8,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,
ARAY,Accuray Incorporated,3.82,336252046.72,,2007.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,
ACRX,"AcelRx Pharmaceuticals, Inc.",2.41,190183149.7,,2011.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,
ACER,Acer Therapeutics Inc.,16.8,169467698.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,
