Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
YI,"111, Inc.",7.0,90350365.0,12907195.0,2018.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",5.79,34813903.56,,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",24.9508,17465560.0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,1.92,59753399.04,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",19.4,1247766425.8,,1999.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.5101,46377685.9377,,2019.0,Finance,Banks,https://www.nasdaq.com/symbol/bcow,
FCCY,1st Constitution Bancorp (NJ),18.85,162632295.8,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,45.19,1159934796.07,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",7.33,456497219.57,62277929.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",34.44,2172434491.92,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",14.14,43834000.0,3100000.0,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,
JOBS,"51job, Inc.",74.5,2660027640.5,35705069.0,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
JFK,8i Enterprises Acquisition Corp,9.92,57040000.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,
