Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
CNSL,"Consolidated Communications Holdings, Inc.",4.0,288393560.0,,2005.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/cnsl,
CWCO,Consolidated Water Co. Ltd.,13.55,203525661.2,,,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/cwco,
CNAC,Constellation Alpha Capital Corp.,10.34,191600200.0,,2017.0,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cnac,
CNACR,Constellation Alpha Capital Corp.,0.2,0.0,,2017.0,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cnacr,
CNACU,Constellation Alpha Capital Corp.,10.15,188079500.0,,2017.0,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cnacu,
CNACW,Constellation Alpha Capital Corp.,0.06,0.0,,2017.0,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cnacw,
CNST,"Constellation Pharmaceuticals, Inc.",8.62,222458313.98,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cnst,
ROAD,"Construction Partners, Inc.",13.01,668904193.19,,2018.0,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/road,
CPSS,"Consumer Portfolio Services, Inc.",3.26,72206202.92,,1992.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/cpss,
CFRX,ContraFect Corporation,0.418,33193194.408000004,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cfrx,
CTRV,ContraVir Pharmaceuticals Inc.,0.107,4422724.304,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ctrv,
CTRL,Control4 Corporation,23.66,630798313.6,,2013.0,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/ctrl,
AWSM,Cool Holdings Inc.,2.3007,19023409.2717,,,Technology,Electronic Components,https://www.nasdaq.com/symbol/awsm,
CPRT,"Copart, Inc.",71.48,16312158160.88,,1994.0,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/cprt,
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",7.01,451831099.21,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crbp,
CORT,Corcept Therapeutics Incorporated,9.78,1123318164.24,,2004.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cort,
CORE,"Core-Mark Holding Company, Inc.",36.88,1691767547.36,,,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/core,
CSOD,"Cornerstone OnDemand, Inc.",53.23,3175322323.33,,2011.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/csod,
CORV,Correvio Pharma Corp.,2.24,89273338.56,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/corv,
CRTX,"Cortexyme, Inc.",25.67,667762283.78,,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/crtx,
CLDB,Cortland Bancorp,23.0,100833725.0,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cldb,
CRVL,CorVel Corp.,73.98,1378852482.42,,,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/crvl,
CRVS,"Corvus Pharmaceuticals, Inc.",3.77,110562413.0,,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crvs,
CSGP,"CoStar Group, Inc.",509.64,18623048792.64,,1998.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/csgp,
COST,Costco Wholesale Corporation,239.58,105386511972.06,,,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/cost,
CPAH,CounterPath Corporation,1.57,9340721.28,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cpah,
ICBK,"County Bancorp, Inc.",17.22,115619453.88,,2015.0,Finance,Major Banks,https://www.nasdaq.com/symbol/icbk,
COUP,Coupa Software Incorporated,109.21,6697847115.8,,2016.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/coup,
CVTI,"Covenant Transportation Group, Inc.",15.02,275895065.26,,1994.0,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/cvti,
CVET,"Covetrus, Inc.",24.66,2754504516.06,,,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/cvet,
COWN,Cowen Inc.,15.15,448233096.45,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cown,
COWNL,Cowen Inc.,25.45,0.0,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cownl,
COWNZ,Cowen Inc.,25.45,0.0,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cownz,
PMTS,CPI Card Group Inc.,2.43,27119716.11,,2015.0,Finance,Finance Companies,https://www.nasdaq.com/symbol/pmts,
CPSH,CPS Technologies Corp.,1.1,14528179.6,,,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cpsh,
CRAI,"CRA International,Inc.",37.44,301051895.04,,1998.0,Miscellaneous,Other Consumer Services,https://www.nasdaq.com/symbol/crai,
CBRL,"Cracker Barrel Old Country Store, Inc.",157.09,3776659441.66,,1981.0,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/cbrl,
BREW,"Craft Brew Alliance, Inc.",13.81,268120459.5,,,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/brew,
CRAY,Cray Inc,35.01,1441771737.12,,,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/cray,
CREX,"Creative Realities, Inc.",2.0999,20421162.1174,,,Technology,EDP Services,https://www.nasdaq.com/symbol/crex,
CREXW,"Creative Realities, Inc.",0.4,0.0,,,Technology,EDP Services,https://www.nasdaq.com/symbol/crexw,
CACC,Credit Acceptance Corporation,456.39,8578783367.55,,1992.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/cacc,
DGLD,Credit Suisse AG,45.04,18196610.4,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/dgld,
DSLV,Credit Suisse AG,33.55,32172302.8,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/dslv,
GLDI,Credit Suisse AG,8.58,33387577.08,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/gldi,
SLVO,Credit Suisse AG,6.422000000000001,19917145.846,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/slvo,
TVIX,Credit Suisse AG,25.75,978070258.25,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/tvix,
UGLD,Credit Suisse AG,96.39,114851865.87,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ugld,
USLV,Credit Suisse AG,57.39,215970908.85,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/uslv,
USOI,Credit Suisse AG,20.141,7150055.0,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/usoi,
VIIX,Credit Suisse AG,12.92,48439379.76,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/viix,
ZIV,Credit Suisse AG,69.59,79193420.0,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ziv,
CREE,"Cree, Inc.",55.14,5803388174.16,,1993.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/cree,
CRSA,Crescent Acquisition Corp,9.7,242500000.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/crsa,
CRSAU,Crescent Acquisition Corp,10.07,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/crsau,
CRSAW,Crescent Acquisition Corp,0.75,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/crsaw,
CRESY,Cresud S.A.C.I.F. y A.,9.98,402228151.56,40303422.0,1997.0,Finance,Real Estate,https://www.nasdaq.com/symbol/cresy,
CRNX,"Crinetics Pharmaceuticals, Inc.",26.28,634351291.56,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crnx,
CRSP,CRISPR Therapeutics AG,35.57,1882007739.61,,2016.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/crsp,
CRTO,Criteo S.A.,18.36,1156671811.44,62999554.0,2013.0,Technology,Advertising,https://www.nasdaq.com/symbol/crto,
CROX,"Crocs, Inc.",19.32,1388260141.8,,2006.0,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/crox,
CRON,Cronos Group Inc.,14.08,4688926908.16,,,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cron,
CCRN,"Cross Country Healthcare, Inc.",7.11,261832881.33,,2001.0,Technology,Professional Services,https://www.nasdaq.com/symbol/ccrn,
CRWS,"Crown Crafts, Inc.",5.03,50916466.74,,,Basic Industries,Textiles,https://www.nasdaq.com/symbol/crws,
CYRX,"CryoPort, Inc.",16.72,511076561.6,,,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/cyrx,
CYRXW,"CryoPort, Inc.",13.34,0.0,,,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/cyrxw,
CSGS,"CSG Systems International, Inc.",44.85,1489805861.7,,1996.0,Technology,EDP Services,https://www.nasdaq.com/symbol/csgs,
CCLP,CSI Compressco LP,3.22,151552065.98,,2011.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/cclp,
CSPI,CSP Inc.,13.94,57681364.14,,1982.0,Technology,EDP Services,https://www.nasdaq.com/symbol/cspi,
CSWI,"CSW Industrials, Inc.",63.93,960494484.87,,,Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/cswi,
CSX,CSX Corporation,74.47,60258418207.02,,,Transportation,Railroads,https://www.nasdaq.com/symbol/csx,
CTIC,CTI BioPharma Corp.,0.8201,47548844.4325,,1997.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ctic,
CTIB,CTI Industries Corporation,3.15,11768242.5,,1997.0,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/ctib,
CTRP,"Ctrip.com International, Ltd.",34.56,16827827742.72,486916312.0,2003.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ctrp,
CUE,"Cue Biopharma, Inc.",8.26,171669611.96,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cue,
CUI,"CUI Global, Inc.",1.05,30044138.25,,,Technology,Electronic Components,https://www.nasdaq.com/symbol/cui,
CPIX,Cumberland Pharmaceuticals Inc.,6.26,97262433.8,,2009.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cpix,
CMLS,Cumulus Media Inc.,16.0,270762192.0,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/cmls,
CRIS,"Curis, Inc.",1.4,46411092.0,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cris,
CUTR,"Cutera, Inc.",16.85,236522978.2,,2004.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/cutr,
CVBF,CVB Financial Corporation,20.55,2877247380.9,,,Finance,Major Banks,https://www.nasdaq.com/symbol/cvbf,
CVV,CVD Equipment Corporation,3.6163,23705388.945,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvv,
CYAN,Cyanotech Corporation,3.05,17800135.5,,,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cyan,
CYBR,CyberArk Software Ltd.,132.05,4966256301.4,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cybr,
CYBE,CyberOptics Corporation,15.35,109087461.25,,1987.0,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/cybe,
CYCC,"Cyclacel Pharmaceuticals, Inc.",0.64,11007983.36,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cycc,
CYCCP,"Cyclacel Pharmaceuticals, Inc.",4.89,1639484.97,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyccp,
CYCN,"Cyclerion Therapeutics, Inc.",13.95,382253157.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cycn,
CBAY,CymaBay Therapeutics Inc.,12.08,829824039.44,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cbay,
CY,Cypress Semiconductor Corporation,17.82,6509454613.2,,1986.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/cy,
